poll_type	Days_to_elections	weight	Pollster	UNM	Dream	CDM	OTH	Date
Exit poll	1	1	GFK	0.485	0.485	0.029	0	10/1/2012
Exit poll	1	1	Edison Reaserch	0.41	0.5	0.05	0.04	10/1/2012
Exit poll	1	1	Penn Schoen Berland	0.29	0.677	0.011	0.022	10/1/2012
F2F	15	0.067	forsa	0.44	0.5	0.06	0	9/20/2012
F2F	30	0.033	GQR	0.31	0.59	0.06	0.04	9/1/2012
F2F	30	0.033	NDI	0.71	0.23	0.06	0	9/1/2012
F2F	60	0.017	Penn Schoen Berland	0.51	0.49	0	0	8/1/2012
F2F	90	0.011	IRI	0.32	0.58	0.09	0	7/1/2012
F2F	90	0.011	NDI	0.621	0.31	0.052	0.017	7/1/2012
F2F	120	0.008	IRI	0.652	0.217	0.13	0	6/1/2012
