Admin Region Name,select,order,Admin Region Code,type,Series Name,Series Code,YR2000,YR2005,YR2009
"Georgia, Achara, Guria",0,,GEO_Achara_and_Guria_AGG_MAL_Survey_080,1,"Prevalence of overweight, weight for height (% of children under 5)",SN.SH.STA.OWGH.ZS,NA,NA,25.5
"Georgia, Achara, Guria",0,,GEO_Achara_and_Guria_AGG_MAL_Survey_080,2,"Prevalence of severe wasting, weight for height (% of children under 5)",SN.SH.SVR.WAST.ZS,NA,NA,0.3
"Georgia, Achara, Guria",0,,GEO_Achara_and_Guria_AGG_MAL_Survey_080,3,"Prevalence of stunting, height for age (% of children under 5)",SN.SH.STA.STNT.ZS,NA,NA,19.7
"Georgia, Achara, Guria",0,,GEO_Achara_and_Guria_AGG_MAL_Survey_080,4,"Prevalence of underweight, weight for age (% of children under 5)",SN.SH.STA.MALN.ZS,NA,NA,0.9
"Georgia, Achara, Guria",0,,GEO_Achara_and_Guria_AGG_MAL_Survey_080,5,"Prevalence of wasting, weight for height (% of children under 5)",SN.SH.STA.WAST.ZS,NA,NA,1.5
,1,1,,1,,,,,
"Georgia, Adjara Aut. Rep.",1,2,GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,1,"Prevalence of overweight, weight for height (% of children under 5)",SN.SH.STA.OWGH.ZS,NA,28.1,NA
,1,1,,2,,,,,
"Georgia, Adjara Aut. Rep.",1,2,GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,2,"Prevalence of severe wasting, weight for height (% of children under 5)",SN.SH.SVR.WAST.ZS,NA,0.3,NA
,1,1,,3,,,,,
"Georgia, Adjara Aut. Rep.",1,2,GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,3,"Prevalence of stunting, height for age (% of children under 5)",SN.SH.STA.STNT.ZS,NA,23.2,NA
,1,1,,4,,,,,
"Georgia, Adjara Aut. Rep.",1,2,GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,4,"Prevalence of underweight, weight for age (% of children under 5)",SN.SH.STA.MALN.ZS,NA,2.2,NA
,1,1,,5,,,,,
"Georgia, Adjara Aut. Rep.",1,2,GEO_Adjara_Aut._Rep._GE.AR_1297_GEO002,5,"Prevalence of wasting, weight for height (% of children under 5)",SN.SH.STA.WAST.ZS,NA,1,NA
"Georgia, Guria",1,3,GEO_Guria_GE.GU_1298_GEO003,1,"Prevalence of overweight, weight for height (% of children under 5)",SN.SH.STA.OWGH.ZS,NA,7.9,NA
"Georgia, Guria",1,3,GEO_Guria_GE.GU_1298_GEO003,2,"Prevalence of severe wasting, weight for height (% of children under 5)",SN.SH.SVR.WAST.ZS,NA,2.4,NA
"Georgia, Guria",1,3,GEO_Guria_GE.GU_1298_GEO003,3,"Prevalence of stunting, height for age (% of children under 5)",SN.SH.STA.STNT.ZS,NA,4.1,NA
