Index,Variant,Major.Area,sex,Notes,Country.code,year,age.group,value,order
1667,Estimates,Georgia,female,11,268,1950,0 - 4,146,1
1668,Estimates,Georgia,female,11,268,1955,0 - 4,197,1
1669,Estimates,Georgia,female,11,268,1960,0 - 4,240,1
1670,Estimates,Georgia,female,11,268,1965,0 - 4,254,1
1671,Estimates,Georgia,female,11,268,1970,0 - 4,214,1
1672,Estimates,Georgia,female,11,268,1975,0 - 4,218,1
1673,Estimates,Georgia,female,11,268,1980,0 - 4,214,1
1674,Estimates,Georgia,female,11,268,1985,0 - 4,225,1
1675,Estimates,Georgia,female,11,268,1990,0 - 4,223,1
1676,Estimates,Georgia,female,11,268,1995,0 - 4,188,1
1677,Estimates,Georgia,female,11,268,2000,0 - 4,133,1
1678,Estimates,Georgia,female,11,268,2005,0 - 4,109,1
1679,Estimates,Georgia,female,11,268,2010,0 - 4,124,1
1680,Estimates,Georgia,female,11,268,2015,0 - 4,133,1
1667,Estimates,Georgia,male,11,268,1950,0 - 4,141,1
1668,Estimates,Georgia,male,11,268,1955,0 - 4,206,1
1669,Estimates,Georgia,male,11,268,1960,0 - 4,251,1
1670,Estimates,Georgia,male,11,268,1965,0 - 4,264,1
1671,Estimates,Georgia,male,11,268,1970,0 - 4,221,1
1672,Estimates,Georgia,male,11,268,1975,0 - 4,226,1
1673,Estimates,Georgia,male,11,268,1980,0 - 4,220,1
1674,Estimates,Georgia,male,11,268,1985,0 - 4,234,1
1675,Estimates,Georgia,male,11,268,1990,0 - 4,235,1
1676,Estimates,Georgia,male,11,268,1995,0 - 4,199,1
1677,Estimates,Georgia,male,11,268,2000,0 - 4,144,1
1678,Estimates,Georgia,male,11,268,2005,0 - 4,126,1
1679,Estimates,Georgia,male,11,268,2010,0 - 4,141,1
1680,Estimates,Georgia,male,11,268,2015,0 - 4,142,1
1667,Estimates,Georgia,female,11,268,1950,05-Sep,143,2
1668,Estimates,Georgia,female,11,268,1955,05-Sep,144,2
1669,Estimates,Georgia,female,11,268,1960,05-Sep,198,2
1670,Estimates,Georgia,female,11,268,1965,05-Sep,243,2
1671,Estimates,Georgia,female,11,268,1970,05-Sep,256,2
1672,Estimates,Georgia,female,11,268,1975,05-Sep,219,2
1673,Estimates,Georgia,female,11,268,1980,05-Sep,215,2
1674,Estimates,Georgia,female,11,268,1985,05-Sep,215,2
1675,Estimates,Georgia,female,11,268,1990,05-Sep,223,2
1676,Estimates,Georgia,female,11,268,1995,05-Sep,210,2
1677,Estimates,Georgia,female,11,268,2000,05-Sep,175,2
1678,Estimates,Georgia,female,11,268,2005,05-Sep,114,2
1679,Estimates,Georgia,female,11,268,2010,05-Sep,99,2
1680,Estimates,Georgia,female,11,268,2015,05-Sep,107,2
1667,Estimates,Georgia,male,11,268,1950,05-Sep,123,2
1668,Estimates,Georgia,male,11,268,1955,05-Sep,137,2
1669,Estimates,Georgia,male,11,268,1960,05-Sep,205,2
1670,Estimates,Georgia,male,11,268,1965,05-Sep,252,2
1671,Estimates,Georgia,male,11,268,1970,05-Sep,265,2
1672,Estimates,Georgia,male,11,268,1975,05-Sep,223,2
1673,Estimates,Georgia,male,11,268,1980,05-Sep,218,2
1674,Estimates,Georgia,male,11,268,1985,05-Sep,220,2
1675,Estimates,Georgia,male,11,268,1990,05-Sep,231,2
1676,Estimates,Georgia,male,11,268,1995,05-Sep,220,2
1677,Estimates,Georgia,male,11,268,2000,05-Sep,180,2
1678,Estimates,Georgia,male,11,268,2005,05-Sep,127,2
1679,Estimates,Georgia,male,11,268,2010,05-Sep,113,2
1680,Estimates,Georgia,male,11,268,2015,05-Sep,121,2
1667,Estimates,Georgia,female,11,268,1950,Oct-14,204,3
1668,Estimates,Georgia,female,11,268,1955,Oct-14,159,3
1669,Estimates,Georgia,female,11,268,1960,Oct-14,151,3
1670,Estimates,Georgia,female,11,268,1965,Oct-14,193,3
1671,Estimates,Georgia,female,11,268,1970,Oct-14,236,3
1672,Estimates,Georgia,female,11,268,1975,Oct-14,249,3
1673,Estimates,Georgia,female,11,268,1980,Oct-14,217,3
1674,Estimates,Georgia,female,11,268,1985,Oct-14,213,3
1675,Estimates,Georgia,female,11,268,1990,Oct-14,212,3
1676,Estimates,Georgia,female,11,268,1995,Oct-14,200,3
1677,Estimates,Georgia,female,11,268,2000,Oct-14,200,3
1678,Estimates,Georgia,female,11,268,2005,Oct-14,173,3
1679,Estimates,Georgia,female,11,268,2010,Oct-14,116,3
1680,Estimates,Georgia,female,11,268,2015,Oct-14,89,3
1667,Estimates,Georgia,male,11,268,1950,Oct-14,190,3
1668,Estimates,Georgia,male,11,268,1955,Oct-14,140,3
1669,Estimates,Georgia,male,11,268,1960,Oct-14,146,3
1670,Estimates,Georgia,male,11,268,1965,Oct-14,202,3
1671,Estimates,Georgia,male,11,268,1970,Oct-14,248,3
1672,Estimates,Georgia,male,11,268,1975,Oct-14,260,3
1673,Estimates,Georgia,male,11,268,1980,Oct-14,224,3
1674,Estimates,Georgia,male,11,268,1985,Oct-14,222,3
1675,Estimates,Georgia,male,11,268,1990,Oct-14,221,3
1676,Estimates,Georgia,male,11,268,1995,Oct-14,205,3
1677,Estimates,Georgia,male,11,268,2000,Oct-14,208,3
1678,Estimates,Georgia,male,11,268,2005,Oct-14,173,3
1679,Estimates,Georgia,male,11,268,2010,Oct-14,127,3
1680,Estimates,Georgia,male,11,268,2015,Oct-14,101,3
1667,Estimates,Georgia,female,11,268,1950,15 - 19,170,4
1668,Estimates,Georgia,female,11,268,1955,15 - 19,205,4
1669,Estimates,Georgia,female,11,268,1960,15 - 19,155,4
1670,Estimates,Georgia,female,11,268,1965,15 - 19,156,4
1671,Estimates,Georgia,female,11,268,1970,15 - 19,199,4
1672,Estimates,Georgia,female,11,268,1975,15 - 19,231,4
1673,Estimates,Georgia,female,11,268,1980,15 - 19,237,4
1674,Estimates,Georgia,female,11,268,1985,15 - 19,207,4
1675,Estimates,Georgia,female,11,268,1990,15 - 19,200,4
1676,Estimates,Georgia,female,11,268,1995,15 - 19,191,4
1677,Estimates,Georgia,female,11,268,2000,15 - 19,186,4
1678,Estimates,Georgia,female,11,268,2005,15 - 19,194,4
1679,Estimates,Georgia,female,11,268,2010,15 - 19,161,4
1680,Estimates,Georgia,female,11,268,2015,15 - 19,117,4
1667,Estimates,Georgia,male,11,268,1950,15 - 19,170,4
1668,Estimates,Georgia,male,11,268,1955,15 - 19,188,4
1669,Estimates,Georgia,male,11,268,1960,15 - 19,133,4
1670,Estimates,Georgia,male,11,268,1965,15 - 19,149,4
1671,Estimates,Georgia,male,11,268,1970,15 - 19,205,4
1672,Estimates,Georgia,male,11,268,1975,15 - 19,239,4
1673,Estimates,Georgia,male,11,268,1980,15 - 19,242,4
1674,Estimates,Georgia,male,11,268,1985,15 - 19,216,4
1675,Estimates,Georgia,male,11,268,1990,15 - 19,213,4
1676,Estimates,Georgia,male,11,268,1995,15 - 19,192,4
1677,Estimates,Georgia,male,11,268,2000,15 - 19,188,4
1678,Estimates,Georgia,male,11,268,2005,15 - 19,199,4
1679,Estimates,Georgia,male,11,268,2010,15 - 19,163,4
1680,Estimates,Georgia,male,11,268,2015,15 - 19,127,4
1667,Estimates,Georgia,female,11,268,1950,20 - 24,184,5
1668,Estimates,Georgia,female,11,268,1955,20 - 24,178,5
1669,Estimates,Georgia,female,11,268,1960,20 - 24,208,5
1670,Estimates,Georgia,female,11,268,1965,20 - 24,151,5
1671,Estimates,Georgia,female,11,268,1970,20 - 24,155,5
1672,Estimates,Georgia,female,11,268,1975,20 - 24,204,5
1673,Estimates,Georgia,female,11,268,1980,20 - 24,219,5
1674,Estimates,Georgia,female,11,268,1985,20 - 24,231,5
1675,Estimates,Georgia,female,11,268,1990,20 - 24,198,5
1676,Estimates,Georgia,female,11,268,1995,20 - 24,179,5
1677,Estimates,Georgia,female,11,268,2000,20 - 24,177,5
1678,Estimates,Georgia,female,11,268,2005,20 - 24,176,5
1679,Estimates,Georgia,female,11,268,2010,20 - 24,178,5
