geo,type,Total,Georgians,Azeris,Armenians,Russians,Ossetians,Yezidis,Ukrainians,Kists,Greeks,Assyrians,Other,Refusal,Not stated
GEORGIA,Total,3713804,3224564,233024,168102,26453,14385,12174,6034,5697,5544,2377,14346,591,513
C. Tbilisi,Total,1108717,996804,15187,53409,13350,4313,11194,3239,84,1861,972,7828,177,299
Autonomous Republic of Adjara,Total,333953,320742,340,5461,3679,101,81,793,NA,575,131,1940,21,85
Guria,Total,113350,111168,34,1228,564,30,17,141,0,28,0,133,NA,NA
Imereti,Total,533906,530288,106,709,1384,143,NA,398,0,109,125,614,NA,17
Kakheti,Total,318583,271298,32354,2191,1921,2526,504,202,5581,158,NA,1806,NA,32
Mtskheta-Mtianeti,Total,94573,89343,2316,291,252,1327,61,80,NA,55,709,136,0,NA
Racha-Lechkhumi and Kvemo Svaneti,Total,32089,31977,NA,NA,29,28,0,NA,0,NA,0,29,0,0
Samegrelo-Zemo Svaneti,Total,330761,328662,64,143,1173,46,NA,312,0,55,36,264,0,NA
Samtskhe-Javakheti,Total,160504,77498,89,81089,712,393,NA,142,0,420,NA,147,NA,NA
Kvemo Kartli,Total,423986,217305,177032,21500,2631,810,305,510,25,2113,362,968,370,55
Shida Kartli,Total,263382,249479,5501,2072,758,4668,NA,208,NA,163,34,481,NA,NA
GEORGIA,Urban,2122623,1928099,43666,86538,22507,6981,11935,5285,230,3525,1620,11224,560,453
C. Tbilisi,Urban,1078297,970878,11356,53183,13260,4175,11116,3223,83,1840,966,7745,174,298
Autonomous Republic of Adjara,Urban,184774,172984,302,5273,3369,91,81,728,NA,396,131,1315,15,85
Guria,Urban,31904,30602,23,825,252,15,11,68,0,15,0,89,NA,NA
Imereti,Urban,258510,255685,80,640,979,79,NA,285,0,96,124,519,NA,15
Kakheti,Urban,71526,68272,280,922,793,293,435,84,118,68,NA,250,0,NA
Mtskheta-Mtianeti,Urban,21259,20905,11,67,88,82,36,38,0,NA,NA,23,0,0
Racha-Lechkhumi and Kvemo Svaneti,Urban,6970,6931,NA,NA,NA,NA,0,NA,0,NA,0,18,0,0
Samegrelo-Zemo Svaneti,Urban,129391,127883,55,118,834,31,0,194,0,42,36,195,0,NA
Samtskhe-Javakheti,Urban,54663,34205,76,19306,385,315,NA,114,0,147,NA,107,NA,NA
Kvemo Kartli,Urban,180118,140116,29589,4830,2072,632,250,409,24,821,337,646,362,30
Shida Kartli,Urban,105211,99638,1893,1370,469,1263,NA,141,NA,89,19,317,NA,NA
GEORGIA,Rural,1591181,1296465,189358,81564,3946,7404,239,749,5467,2019,757,3122,31,60
C. Tbilisi,Rural,30420,25926,3831,226,90,138,78,16,NA,21,NA,83,NA,NA
Autonomous Republic of Adjara,Rural,149179,147758,38,188,310,NA,0,65,0,179,0,625,NA,0
Guria,Rural,81446,80566,11,403,312,15,NA,73,0,13,0,44,0,NA
Imereti,Rural,275396,274603,26,69,405,64,NA,113,0,13,NA,95,NA,NA
Kakheti,Rural,247057,203026,32074,1269,1128,2233,69,118,5463,90,NA,1556,NA,24
Mtskheta-Mtianeti,Rural,73314,68438,2305,224,164,1245,25,42,NA,48,707,113,0,NA
Racha-Lechkhumi and Kvemo Svaneti,Rural,25119,25046,0,NA,23,23,0,NA,0,NA,0,11,0,0
Samegrelo-Zemo Svaneti,Rural,201370,200779,NA,25,339,15,NA,118,0,13,0,69,0,NA
Samtskhe-Javakheti,Rural,105841,43293,13,61783,327,78,0,28,0,273,0,40,NA,NA
Kvemo Kartli,Rural,243868,77189,147443,16670,559,178,55,101,NA,1292,25,322,NA,25
Shida Kartli,Rural,158171,149841,3608,702,289,3405,NA,67,0,74,15,164,NA,0
