"","Country","Latitude","Longitude","GDP","Yield_Trend","Ave_Ag_Terr","Ave_Ag_T_L5","Ag_2011","Ave_Fert","Ave_Fert_L5","Fert_2011","ave_N_cons","N_cons_2011","Last_5","Ave_pop_growth","working_rat","Country1"
"1","Albania",41,20,54.34270646875,0,1150835.29411765,1180720,1201000,34442.7843137255,31957.8,36339,0.0299285088750541,0.0302572855953372,0.0270663662849787,1.0644796247037,60.2010297133333,NA
"2","Argentina",-34,-64,44.0973057173913,1,131321039.215686,145130600,147548000,256372.235294118,826957.4,1001771,0.00195225560828104,0.00678945834575867,0.00569802233298836,1.32276492661111,46.3571352066667,NA
"3","Armenia",40,45,49.5799128636364,0,1456356,1738144,1710600,10043.25,10224.4,12213,0.00689615039179981,0.00713960014030165,0.00588236647826647,0.929218958833333,50.7911196005556,NA
"4","Austria",47.3333,13.3333,561.475516730769,0,3580215.68627451,3122600,2869000,123888.294117647,83747,86173,0.034603583966351,0.0300359010108052,0.0268196374815859,0.350753544296296,29.6604388174074,NA
"5","Azerbaijan",40.5,47.5,65.7136729090909,0,4671415,4761200,4768700,20718.35,20210.8,22512,0.00443513368005198,0.00472078344202823,0.00424489624464421,1.6941091435,59.2837206975926,NA
"6","Bangladesh",24,90,6.61486915384616,0,9690333.33333333,9226800,9128000,536794.647058823,1200193.4,1365800,0.055394858834456,0.149627519719544,0.130076884727099,2.18401938301852,73.9148993594444,NA
"7","Belarus",53,28,115.017012227273,1,9122250,8906600,8875000,351360,531080,601100,0.0385168132861958,0.0677295774647887,0.0596276918240406,0.284426098592593,34.8388905742593,NA
"8","Brazil",-10,-55,76.8203718653846,1,229964192.352941,273308320,275030000,1053040.52941176,2849000.6,3574732,0.00457914999129775,0.0129976075337236,0.0104241268615606,1.93009435288889,60.4956275318519,"Brazil"
"9","Chile",-30,-71,133.99800175,1,15614176.4705882,15766000,15789000,144602.156862745,382975.6,432447,0.009260953155943,0.0273891316739502,0.0242912343016618,1.59183455259259,52.5746990394444,NA
"10","China",35,105,61.9868796788462,1,457257239.215686,517176120,519148200,16021797.1176471,39440318,38098094,0.0350389140806793,0.0733857769322902,0.0762609031522956,1.34952840555556,51.2163123012963,NA
"11","Colombia",4,-72,54.0162886153846,0,43998639.2156863,42775720,43785600,229446.882352941,541513,601915,0.00521486315129354,0.013746871117445,0.0126593544188152,2.10095967885185,67.9123684301852,NA
"12","Czech Republic",49.75,15.5,202.692821363636,0,4265526.31578947,4239000,4229000,233055.526315789,241429.6,283070,0.054636991794682,0.0669354457318515,0.056954376032083,0.193538489222222,30.1946072514815,NA
"13","Denmark",56,10,558.240624423077,0,2834666.66666667,2656200,2690000,284286.490196078,192919.6,186352,0.100289213380554,0.0692758364312268,0.072629922445599,0.389354779407407,30.672565685,NA
"14","Egypt",27,30,23.7630654134615,1,2939901.96078431,3621000,3665000,727525.392156863,1328926,1344990,0.247465868543035,0.366982264665757,0.36700524716929,2.04285820457407,67.634929235,NA
"15","Finland",64,26,540.436018461539,1,2478764.70588235,2292800,2286000,171694.156862745,189470.4,155532,0.0692660164376626,0.0680367454068242,0.0826371249127704,0.394740261962963,31.4394023072222,"Finland"
"16","France",46,2,443.949460192308,0,31307490.1960784,29248000,29090000,1970667.29411765,2079122,1944610,0.0629455533412414,0.0668480577518047,0.071085954595186,0.666643924833333,33.6475289662963,NA
"17","Germany",51,9,506.841474047619,0,18075980.3921569,16835200,16719000,1789957.29411765,1670749,1640414,0.0990240781016949,0.0981167533943418,0.0992414108534499,0.203101884444444,27.1007651487037,NA
"18","Greece",39,22,260.236779153846,0,8687919.60784314,7484360,8152000,272170.568627451,157549.4,140186,0.0313274731941287,0.0171965161923454,0.0210504839425148,0.533309111296296,30.6489100698148,NA
"19","Guatemala",15.5,-90.25,22.0368504230769,0,3677078.43137255,4373400,4395000,72879.8235294118,132915.8,180502,0.0198200350875322,0.0410698521046644,0.0303918690263868,2.49029465453704,85.3834748514815,NA
"20","India",20,77,17.2089241846154,0,179835392.156863,179787600,179799000,6690463.80392157,15741955.8,17320285,0.0372032652954417,0.0963313755916329,0.0875586291824353,1.93310466025926,63.4414929794444,NA
"21","Iran",32,53,38.5704734680851,1,59439588.2352941,48515000,48957000,475296.31372549,693502.2,257371,0.00799629216548422,0.0052570827460833,0.014294593424714,2.382032085,71.4147546138889,NA
"22","Ireland",53,-8,803.015847857143,0,5145550.98039216,4357620,4555000,264236.176470588,312365.4,270017,0.0513523580812817,0.0592792535675082,0.0716825698431713,0.893409314518519,44.0953241183333,NA
"23","Italy",42.8333,12.8333,384.678689326923,1,17017266.6666667,14155320,13932600,765347.392156863,596923.4,516543,0.0449747545918183,0.0370744153998536,0.0421695447365372,0.361955016944444,29.0959569318519,NA
"24","Japan",36,138,574.283886326923,1,5821862.74509804,4608200,4561000,620759.078431373,464475.2,439801,0.106625508984053,0.0964264415698312,0.100793194739812,0.608390939259259,29.5970028812963,NA
"25","Latvia",57,25,133.466634,1,1856150,1823600,1816000,38850.3,54400.4,61875,0.020930582118902,0.0340721365638766,0.0298313226584777,-0.0836280482592592,29.3703662403704,"Latvia"
"26","Lebanon",33.8333,35.8333,91.0686605833333,1,615527.450980392,656220,638000,16421.6666666667,16628.4,16900,0.0266790159244901,0.0264890282131661,0.0253396726707507,1.73853891824074,60.5676334503704,NA
"27","Libya",25,17,197.3409496,0,14560725.4901961,15585000,15585000,25844.5294117647,53488.2,61120,0.00177494791926173,0.00392171960218158,0.00343203079884504,2.78060154207407,71.9089484898148,NA
